class,precision,recall,f1
short sleeve top,0.9414634146341463,0.015519459633322612,0.03053555889565699
long sleeve top,0.8198849935076981,0.7076528978546269,0.7596459568617341
short sleeve outwear,0.003847772500450911,0.6274509803921569,0.007648640573648043
long sleeve outwear,0.7724317295188556,0.7724317295188556,0.7724317295188556
vest,0.7900355871886121,0.8188860199188491,0.8042021372939685
sling,0.6724137931034483,0.6842105263157895,0.6782608695652174
shorts,0.9201086956521739,0.8367380560131795,0.8764452113891286
trousers,0.9816062176165803,0.7837418554142104,0.8715854850767727
skirt,0.8796206696342171,0.8161249775543186,0.8466840536512668
short sleeve dress,0.718475073313783,0.7313432835820896,0.7248520710059172
long sleeve dress,0.588646967340591,0.5449964002879769,0.565981308411215
vest dress,0.8122892469089547,0.6854252292127727,0.7434842249657064
sling dress,0.6737657308809293,0.611062335381914,0.6408839779005525
